title,long_title,bullet1,bullet2,bullet3,bullet4,bullet5,visible,color,asin,categories_list,model_number,photo_url,units,price,cost_cents,length,width,height,weight,long_description,upc
"Open-Ended Vinyl-Coated Pant Hanger, Chrome/Black","Honey-Can-Do HNG-01199 Open-Ended Vinyl-Coated Pant Hanger, 3-Pack, Chrome/Black",Vinyl-coated hanger is perfect for all your bottoms in a convenient 3-piece pack,Gentle on delicate garments and provides a non-slip surface that holds fabrics beautifully in place,"Open-access bottom bar lets you hang pants, skirts, or quilts quickly and easily",Pant hanger measures 13.5-inches W x 5.5-inches H,Durable metal construction provide long-lasting beauty and reliability,TRUE,Chrome/Black,B0027IS7AS,Hangers,HNG-01199,https://s3.amazonaws.com/store_engine/small/HNG-01199_450px.jpg,3,1598,568,13.25,1,5.5,2.67,"Honey-Can-Do HNG-01199 Open-Ended Vinyl-Coated Pant Hanger, 3-Pack, Chrome/Black. Vinyl-coated hanger is perfect for all your bottoms in a convenient 3-piece pack. Gentle on delicate garments and provides a non-slip surface that holds fabrics beautifully in place. Open-access bottom bar lets you hang pants, skirts, or quilts quickly and easily. Pant hanger measures 13.5-inches W x 5.5-inches H. Durable metal construction provide long-lasting beauty and reliability",811434011995
"Basic Suit Hanger with Non-slip Bar, Maple","Honey-Can-Do HNG-01206 Basic Suit Hanger with Non-slip Bar, 4-Pack, Maple","Beautiful, wooden clothes hanger has a contoured design perfect for keeping shirts, dresses, and jackets wrinkle-free","Features a 360 degree swivel rod hook to hang items easily on any closet rod, towel bar, or standard size door",Smooth surface will not snag onto clothing or damage delicate garments,Non-slip pant bar holds fabrics in place,Stylish and attractive Maple finish with a streamlined shape,TRUE,Maple,B0027IS7R6,Hangers,HNG-01206,https://s3.amazonaws.com/store_engine/small/HNG-01206_450px.jpg,4,1398,558,17.5,2,9.25,1.41,"Honey-Can-Do HNG-01206 Basic Suit Hanger with Non-slip Bar, 4-Pack, Maple. Beautiful, wooden clothes hanger has a contoured design perfect for keeping shirts, dresses, and jackets wrinkle-free. Features a 360 degree swivel rod hook to hang items easily on any closet rod, towel bar, or standard size door. Smooth surface will not snag onto clothing or damage delicate garments. Non-slip pant bar holds fabrics in place. Stylish and attractive Maple finish with a streamlined shape",811434012060
"Pant Mate Hanger, White","Honey-Can-Do HNG-01208 Pant Mate Hanger, 4-Pack, White","Transforms 4 plain hangers, into hangers customized for slacks and pants","Rounded design, eliminates creases","Large surface area, garments keep their shape","Softly textured ribs, safely holds delicate garments",White plastic with white ribs,TRUE,White,B006Y79T5A,Hangers,HNG-01208,https://s3.amazonaws.com/store_engine/small/HNG-01208_450px.jpg,4,1598,602,16,12,1,2.6,"Honey-Can-Do HNG-01208 Pant Mate Hanger, 4-Pack, White. Transforms 4 plain hangers, into hangers customized for slacks and pants. Rounded design, eliminates creases. Large surface area, garments keep their shape. Softly textured ribs, safely holds delicate garments. White plastic with white ribs",811434012084
"Basic Suit Hanger with Clips, Cherry","Honey-Can-Do HNG-01210 Basic Suit Hanger with Clips, 3-Pack, Cherry","Sturdy wood construction, built to hold all shapes and styles of pants, shirts and jackets",Chrome plated 360-degree swivel hook will fit all standard closet rods,Smooth surface will not snag onto clothing or damage delicate garments,Adjustable heavy duty clips included hold clothing accessories and may be used to accommodate different sizes and styles,Stylish and attractive Cherry finish with a streamlined shape,TRUE,Cherry,B0027IS7S0,Hangers,HNG-01210,https://s3.amazonaws.com/store_engine/small/HNG-01210_450px.jpg,3,1598,564,1.75,17.5,9.75,2.49,"Honey-Can-Do HNG-01210 Basic Suit Hanger with Clips, 3-Pack, Cherry. Sturdy wood construction, built to hold all shapes and styles of pants, shirts and jackets. Chrome plated 360-degree swivel hook will fit all standard closet rods. Smooth surface will not snag onto clothing or damage delicate garments. Adjustable heavy duty clips included hold clothing accessories and may be used to accommodate different sizes and styles. Stylish and attractive Cherry finish with a streamlined shape",811434012107
"Basic Shirt Hanger with Dress Notches, Maple","Honey-Can-Do HNG-01212 Basic Shirt Hanger with Dress Notches, 5-Pack, Maple",Wide top wood hanger won't leave creases on the shoulders like ordinary wire hangers tend to do,Chrome plated 360-degree swivel hook will fit all standard closet rods,Smooth surface will not snag onto clothing or damage delicate garments,"Built to hold all shapes and styles of jackets, coats, shirts, etc",Features notches on frame to keep garments with straps hanging perfectly,TRUE,Maple,B0027IS7SA,Hangers,HNG-01212,https://s3.amazonaws.com/store_engine/small/HNG-01212_450px.jpg,5,1598,574,2.5,9,6.5,2.69,"Honey-Can-Do HNG-01212 Basic Shirt Hanger with Dress Notches, 5-Pack, Maple. Wide top wood hanger won't leave creases on the shoulders like ordinary wire hangers tend to do. Chrome plated 360-degree swivel hook will fit all standard closet rods. Smooth surface will not snag onto clothing or damage delicate garments. Built to hold all shapes and styles of jackets, coats, shirts, etc. Features notches on frame to keep garments with straps hanging perfectly",811434012121
"Basic Shirt Hanger with Dress Notches, Cherry","Honey-Can-Do HNG-01213 Basic Shirt Hanger with Dress Notches, 5-Pack, Cherry",Wide top wood hanger won't leave creases on the shoulders like ordinary wire hangers tend to do,Chrome plated 360-degree swivel hook will fit all standard closet rods,Smooth surface will not snag onto clothing or damage delicate garments,"Built to hold all shapes and styles of jackets, coats, shirts, etc",Features notches on frame to keep garments with straps hanging perfectly,TRUE,Cherry,B0027IS7SK,Hangers,HNG-01213,https://s3.amazonaws.com/store_engine/small/HNG-01213_450px.jpg,5,1598,580,2.35,17.5,9.5,2.7,"Honey-Can-Do HNG-01213 Basic Shirt Hanger with Dress Notches, 5-Pack, Cherry. Wide top wood hanger won't leave creases on the shoulders like ordinary wire hangers tend to do. Chrome plated 360-degree swivel hook will fit all standard closet rods. Smooth surface will not snag onto clothing or damage delicate garments. Built to hold all shapes and styles of jackets, coats, shirts, etc. Features notches on frame to keep garments with straps hanging perfectly",811434012138
"Wooden Pant Hanger with Clamp, Cherry","Honey-Can-Do HNG-01222 Wooden Pant Hanger with Clamp, 4-Pack, Cherry",Designed to hold skirts and pants,360 degree swivel rod hook fit on most standard closet rods,Soft touch grips on the inside to keep your garments secure and wrinkle free,The pant hanger comes in a beautiful Cherry finish,Durable clamp mechanism will provide years of maintenance free use,TRUE,Cherry,B0027IS7T4,Hangers,HNG-01222,https://s3.amazonaws.com/store_engine/small/HNG-01222_450px.jpg,4,1998,726,9.25,0.79,6.5,1.67,"Honey-Can-Do HNG-01222 Wooden Pant Hanger with Clamp, 4-Pack, Cherry. Designed to hold skirts and pants. 360 degree swivel rod hook fit on most standard closet rods. Soft touch grips on the inside to keep your garments secure and wrinkle free. The pant hanger comes in a beautiful Cherry finish. Durable clamp mechanism will provide years of maintenance free use",811434012220
"Kid's Wooden Shirt and Pants Hanger with Clips, Maple","Honey-Can-Do HNG-01225 Kid's Wooden Shirt and Pants Hanger with Clips, 5-Pack, Maple","A must-have versatile, quality clothes hanger, perfect for child-size clothing",The large rod hook is designed to fit over any closet bar,Integrated accessory hooks keep small dresses or tank tops hanging neatly in place,"Adjustable pant or skirt clips secure coordinating pieces together, simplifying decision making for little ones",Stylish and attractive Maple finish with a streamlined shape,TRUE,Maple,B0027IS7TO,Hangers,HNG-01225,https://s3.amazonaws.com/store_engine/small/HNG-01225_450px.jpg,5,2398,950,12,2.25,9,1.27,"Honey-Can-Do HNG-01225 Kid's Wooden Shirt and Pants Hanger with Clips, 5-Pack, Maple. A must-have versatile, quality clothes hanger, perfect for child-size clothing. The large rod hook is designed to fit over any closet bar. Integrated accessory hooks keep small dresses or tank tops hanging neatly in place. Adjustable pant or skirt clips secure coordinating pieces together, simplifying decision making for little ones. Stylish and attractive Maple finish with a streamlined shape",811434012251
"Contoured Deluxe Suit Hanger with Non-slip Bar, Cherry","Honey-Can-Do HNG-01232 Contoured Deluxe Suit Hanger with Non-slip Bar, Cherry",High quality premium cherry wood finish,"Large and strong enough to hold heavy fabrics, they also work well with lighter fabrics",Smooth contoured surface will not snag onto clothing or damage delicate garments,"Built to hold all shapes and styles of jackets, coats, shirts, pants, etc",Includes integrated non-slip pants/skirt bar to hold coordinating pieces together,TRUE,Cherry,B0027IS7BW,Hangers,HNG-01232,https://s3.amazonaws.com/store_engine/small/HNG-01232_450px.jpg,1,1798,670,17.75,1.75,11,1.43,"Honey-Can-Do HNG-01232 Contoured Deluxe Suit Hanger with Non-slip Bar, Cherry. High quality premium cherry wood finish. Large and strong enough to hold heavy fabrics, they also work well with lighter fabrics. Smooth contoured surface will not snag onto clothing or damage delicate garments. Built to hold all shapes and styles of jackets, coats, shirts, pants, etc. Includes integrated non-slip pants/skirt bar to hold coordinating pieces together",811434012329
"Contoured Suit Hanger with Locking Bar, Maple","Honey-Can-Do HNG-01264 Contoured Suit Hanger with Locking Bar, 3-Pack, Maple","Beautiful, wooden clothes hanger has a contoured design perfect for keeping shirts, dresses, jackets, and pants wrinkle-free","Features a 360 degree swivel rod hook to hang items easily on any closet rod, towel bar, or standard size door",Integrated shoulder notches keep items with spaghetti straps hanging perfectly,"Non-slip pant bar detaches on one end for quick and easy hanging, then locks back in place to hold garments securely",Stylish and attractive Maple finish with a streamlined shape,TRUE,Maple,B0027IS7TY,Hangers,HNG-01264,https://s3.amazonaws.com/store_engine/small/HNG-01264_450px.jpg,3,2398,894,17.5,2.25,9.5,1.42,"Honey-Can-Do HNG-01264 Contoured Suit Hanger with Locking Bar, 3-Pack, Maple. Beautiful, wooden clothes hanger has a contoured design perfect for keeping shirts, dresses, jackets, and pants wrinkle-free. Features a 360 degree swivel rod hook to hang items easily on any closet rod, towel bar, or standard size door. Integrated shoulder notches keep items with spaghetti straps hanging perfectly. Non-slip pant bar detaches on one end for quick and easy hanging, then locks back in place to hold garments securely. Stylish and attractive Maple finish with a streamlined shape",811434012640
"Contoured Suit Hanger with Locking Bar, Cherry","Honey-Can-Do HNG-01265 Contoured Suit Hanger with Locking Bar, 3-Pack, Cherry","Wooden clothes hanger has a contoured design perfect for keeping shirts, dresses, jackets, and pants wrinkle-free","360 degree swivel rod hook to hang items easily on any closet rod, towel bar, or standard size door",Integrated shoulder notches keep items with spaghetti straps hanging perfectly,"Non-slip pant bar detaches on one end for quick and easy hanging, then locks back in place to hold garments securely",Stylish and attractive Cherry finish with a streamlined shape,TRUE,Cherry,B0027IS7U8,Hangers,HNG-01265,https://s3.amazonaws.com/store_engine/small/HNG-01265_450px.jpg,3,2398,894,17.5,2.25,9.5,2.72,"Honey-Can-Do HNG-01265 Contoured Suit Hanger with Locking Bar, 3-Pack, Cherry. Wooden clothes hanger has a contoured design perfect for keeping shirts, dresses, jackets, and pants wrinkle-free. 360 degree swivel rod hook to hang items easily on any closet rod, towel bar, or standard size door. Integrated shoulder notches keep items with spaghetti straps hanging perfectly. Non-slip pant bar detaches on one end for quick and easy hanging, then locks back in place to hold garments securely. Stylish and attractive Cherry finish with a streamlined shape",811434012657
"Soft Touch Skirt and Pant Hanger with Clips, White","Honey-Can-Do HNG-01322 Soft Touch Skirt and Pant Hanger with Clips, 2-Pack, White",Featuring adjustable soft clamp grips to hold pants and skirts securely,Notch hook located underneath the hook rod provides for extra accessory storage,Stylish and attractive white finish with a streamlined shape,Smooth contoured surface will not snag onto clothing or damage delicate garments,Size: 6-1/4 x 11-1/2-inch,TRUE,White,B0027IS7CQ,Hangers,HNG-01322,https://s3.amazonaws.com/store_engine/small/HNG-01322_450px.jpg,2,998,222,11.5,1.75,6.25,2.23,"Honey-Can-Do HNG-01322 Soft Touch Skirt and Pant Hanger with Clips, 2-Pack, White. Featuring adjustable soft clamp grips to hold pants and skirts securely. Notch hook located underneath the hook rod provides for extra accessory storage. Stylish and attractive white finish with a streamlined shape. Smooth contoured surface will not snag onto clothing or damage delicate garments. Size: 6-1/4 x 11-1/2-inch",811434013227
"Soft Touch Swivel Hanger, White/Blue","Honey-Can-Do HNG-01323 Soft Touch Swivel Hanger, 5-Pack, White/Blue","Heavyweight construction (52 grams), perfect for all your garments in a 5-piece value pack","Features a unique rod hook that swivels 360 degrees to hang items easily on any closet rod, towel bar, or over a standard size door",Inset soft rubber grips provide a non-slip surface that holds all types of fabric beautifully in place,"Integrated accessory hook notches keep garments with thin straps hanging, plus secures coordinating scarves, belts, or ties nicely","360 degree swivel rod hook to hang items easily on any closet rod, towel bar, or standard size door",TRUE,White/Blue,B0027IS7D0,Hangers,HNG-01323,https://s3.amazonaws.com/store_engine/small/HNG-01323_450px.jpg,5,1798,670,17,1.75,10,1.24,"Honey-Can-Do HNG-01323 Soft Touch Swivel Hanger, 5-Pack, White/Blue. Heavyweight construction (52 grams), perfect for all your garments in a 5-piece value pack. Features a unique rod hook that swivels 360 degrees to hang items easily on any closet rod, towel bar, or over a standard size door. Inset soft rubber grips provide a non-slip surface that holds all types of fabric beautifully in place. Integrated accessory hook notches keep garments with thin straps hanging, plus secures coordinating scarves, belts, or ties nicely. 360 degree swivel rod hook to hang items easily on any closet rod, towel bar, or standard size door",811434013234
"Plastic Skirt/Pant Hanger with Clamp, White","Honey-Can-Do HNG-01326 Plastic Skirt/Pant Hanger with Clamp, 2-Pack, White",Non-slip rubber insets provide increased grip,"360 degree chrome, swivel rod hook to hang items easily on any closet rod, towel bar, or standard size door",Use the pant clamp for pants and skirts,Heavy duty locking clasp ensures a secure fit and prevents clothing from moving,Smooth contoured surface will not snag onto clothing or damage delicate garments,TRUE,White,B0027IS7DU,Hangers,HNG-01326,https://s3.amazonaws.com/store_engine/small/HNG-01326_450px.jpg,2,998,246,11,1.75,3.38,1.92,"Honey-Can-Do HNG-01326 Plastic Skirt/Pant Hanger with Clamp, 2-Pack, White. Non-slip rubber insets provide increased grip. 360 degree chrome, swivel rod hook to hang items easily on any closet rod, towel bar, or standard size door. Use the pant clamp for pants and skirts. Heavy duty locking clasp ensures a secure fit and prevents clothing from moving. Smooth contoured surface will not snag onto clothing or damage delicate garments",811434013265
"Soft Touch Universal Grip Clips, White/Blue","Honey-Can-Do HNG-01327 Soft Touch Universal Grip Clips, 6-Pack, White/Blue",Non-slip rubber strips for increased grip,Heavy duty clips fit standard tubular hangers and provide additional hanging capabilities to hangers,"Clips are adjustable for various clothing sizes when attached to most standard hangers, helps to maximize closet space",Multi-purpose clips can be used to secure anything from a bag of chips to hanging garments,"The perfect laundry room helper, use the clips in the place of standard clothespins",TRUE,White/Blue,B0027IS7E4,Hangers,HNG-01327,https://s3.amazonaws.com/store_engine/small/HNG-01327_450px.jpg,6,998,222,7.75,1.75,4,1.93,"Honey-Can-Do HNG-01327 Soft Touch Universal Grip Clips, 6-Pack, White/Blue. Non-slip rubber strips for increased grip. Heavy duty clips fit standard tubular hangers and provide additional hanging capabilities to hangers. Clips are adjustable for various clothing sizes when attached to most standard hangers, helps to maximize closet space. Multi-purpose clips can be used to secure anything from a bag of chips to hanging garments. The perfect laundry room helper, use the clips in the place of standard clothespins",811434013272
"Kid's Tubular Hanger with Clips and Dress Notches, White","Honey-Can-Do HNG-01329 Kid's Tubular Hanger with Clips and Dress Notches, 3-Pack, White","A must-have versatile, lightweight (26g) clothes hanger, perfect for child-size clothing in a 3-piece value pack",The large rod hook is designed to fit over any closet bar,"Integrated accessory notches keep small dresses, tank tops, or even backpacks in place, plus hang belts nicely","A big help in the laundry room, these hangers are also great for air-drying clothes","Plastic clips are removable and adjustable, holds pants or skirts in place",TRUE,White,B0027IS7EO,Hangers,HNG-01329,https://s3.amazonaws.com/store_engine/small/HNG-01329_450px.jpg,3,998,236,11.75,2,7.5,1.26,"Honey-Can-Do HNG-01329 Kid's Tubular Hanger with Clips and Dress Notches, 3-Pack, White. A must-have versatile, lightweight (26g) clothes hanger, perfect for child-size clothing in a 3-piece value pack. The large rod hook is designed to fit over any closet bar. Integrated accessory notches keep small dresses, tank tops, or even backpacks in place, plus hang belts nicely. A big help in the laundry room, these hangers are also great for air-drying clothes. Plastic clips are removable and adjustable, holds pants or skirts in place",811434013296
"Foam Open-ended Suit Hanger, Chrome/Blue","Honey-Can-Do HNG-01333 Foam Open-ended Suit Hanger, 2-Pack, Chrome/Blue","Truly a full-featured hanger, this versatile, foam-coated hanger is perfect for all your outfits in a convenient 2-piece pack",Thick foam coating is gentle on delicate garments and provides a non-slip surface that holds fabrics beautifully in place,"The smart, open-access bottom bar lets you hang pants or skirts quickly and easily",Long neck chrome hook hanger with foam grips,Chrome finish with blue foam helps suit hangers stand Hanger dimensions: 15.5W x 8.5H-inches,TRUE,Chrome/Blue,B0027IS7FI,Hangers,HNG-01333,https://s3.amazonaws.com/store_engine/small/HNG-01333_450px.jpg,2,2198,870,15.5,1,8.5,2.64,"Honey-Can-Do HNG-01333 Foam Open-ended Suit Hanger, 2-Pack, Chrome/Blue. Truly a full-featured hanger, this versatile, foam-coated hanger is perfect for all your outfits in a convenient 2-piece pack. Thick foam coating is gentle on delicate garments and provides a non-slip surface that holds fabrics beautifully in place. The smart, open-access bottom bar lets you hang pants or skirts quickly and easily. Long neck chrome hook hanger with foam grips. Chrome finish with blue foam helps suit hangers stand Hanger dimensions: 15.5W x 8.5H-inches",811434013333
"Wood Hangers with Non-slip bar, Maple","Honey-Can-Do HNG-01334 Wood Hangers with Non-slip bar, 24-Pack, Maple","Grooved bar- used to hang dresses, blouses, etc.","Sturdy wood construction- Built to hold all shapes and styles of jackets, coats, shirts, etc",Sturdy wood construction to avoid creases and wrinkles,Attractive maple finish,Home organization made easy,TRUE,Maple,B0027IS7UI,Hangers,HNG-01334,https://s3.amazonaws.com/store_engine/small/HNG-01334_450px.jpg,24,6998,2960,12,9.75,17.75,2.79,"Honey-Can-Do HNG-01334 Wood Hangers with Non-slip bar, 24-Pack, Maple. Grooved bar- used to hang dresses, blouses, etc.. Sturdy wood construction- Built to hold all shapes and styles of jackets, coats, shirts, etc. Sturdy wood construction to avoid creases and wrinkles. Attractive maple finish. Home organization made easy",811434013340
"Wood Hangers with Non-slip bar, Cherry","Honey-Can-Do HNG-01335 Wood Hangers with Non-slip bar, 24-Pack, Cherry","Grooved bar- used to hang dresses, blouses, etc.","Sturdy wood construction- Built to hold all shapes and styles of jackets, coats, shirts, etc",Sturdy wood construction to avoid creases and wrinkles,Attractive cherry finish,Home organization made easy,TRUE,Cherry,B0027IS7US,Hangers,HNG-01335,https://s3.amazonaws.com/store_engine/small/HNG-01335_450px.jpg,24,6998,2960,12,9.75,17.75,3.13,"Honey-Can-Do HNG-01335 Wood Hangers with Non-slip bar, 24-Pack, Cherry. Grooved bar- used to hang dresses, blouses, etc.. Sturdy wood construction- Built to hold all shapes and styles of jackets, coats, shirts, etc. Sturdy wood construction to avoid creases and wrinkles. Attractive cherry finish. Home organization made easy",811434013357
"Hotel hangers with Security Loop, White","Honey-Can-Do HNG-01356 Hotel hangers with Security Loop, 72-Pack, White, 4-Step Hanger",Security loop avoids lost and missing hangers,Sturdy plastic frame- minimizes bending and cracking,Wide frame to fit all types of clothes,The perfect laundry room helper!,Home organization made easy,TRUE,White,B0027IS7VM,Hangers,HNG-01356,https://s3.amazonaws.com/store_engine/small/HNG-01356_450px.jpg,72,13398,5304,14.5,14,20,6.85,"Honey-Can-Do HNG-01356 Hotel hangers with Security Loop, 72-Pack, White, 4-Step Hanger. Security loop avoids lost and missing hangers. Sturdy plastic frame- minimizes bending and cracking. Wide frame to fit all types of clothes. The perfect laundry room helper!. Home organization made easy",20811434013566
"Hotel hangers with Security Loop and Clips, White","Honey-Can-Do HNG-01357 Hotel hangers with Security Loop and Clips, 72-Pack, White",Security loop avoids lost and missing hangers,Sturdy plastic frame- minimizes bending and cracking,Wide frame to fit all types of clothes,The perfect laundry room helper!,Home organization made easy,TRUE,White,B0027IS7VW,Hangers,HNG-01357,https://s3.amazonaws.com/store_engine/small/HNG-01357_450px.jpg,72,19598,7778,14.5,14,27.5,8.21,"Honey-Can-Do HNG-01357 Hotel hangers with Security Loop and Clips, 72-Pack, White. Security loop avoids lost and missing hangers. Sturdy plastic frame- minimizes bending and cracking. Wide frame to fit all types of clothes. The perfect laundry room helper!. Home organization made easy",20811434013573
"Hotel hangers, White","Honey-Can-Do HNG-01358 Hotel hangers, 72-Pack, White",Durable plastic design for increased durability,Sturdy plastic frame- minimizes bending and cracking,Wide frame to fit all types of clothes,The perfect laundry room helper!,Home organization made easy,TRUE,White,B0027IS7W6,Hangers,HNG-01358,https://s3.amazonaws.com/store_engine/small/HNG-01358_450px.jpg,72,15198,6006,14.5,12.5,27,6.89,"Honey-Can-Do HNG-01358 Hotel hangers, 72-Pack, White. Durable plastic design for increased durability. Sturdy plastic frame- minimizes bending and cracking. Wide frame to fit all types of clothes. The perfect laundry room helper!. Home organization made easy",20811434013580
"Hotel Style Hangers, Brown","Honey-Can-Do HNG-01359 Hotel Style Hangers, 72-Pack, Brown",Durable plastic design for increased durability,Sturdy plastic frame- minimizes bending and cracking,Wide frame to fit all types of clothes,The perfect laundry room helper!,Home organization made easy,TRUE,Brown,B0027IS7WG,Hangers,HNG-01359,https://s3.amazonaws.com/store_engine/small/HNG-01359_450px.jpg,72,20598,8210,14.25,12.5,27,6.89,"Honey-Can-Do HNG-01359 Hotel Style Hangers, 72-Pack, Brown. Durable plastic design for increased durability. Sturdy plastic frame- minimizes bending and cracking. Wide frame to fit all types of clothes. The perfect laundry room helper!. Home organization made easy",20811434013597
"Hotel Style Hangers with Clips, White","Honey-Can-Do HNG-01360 Hotel Style Hangers with Clips, 72-Pack, White",Durable plastic design for increased durability,Sturdy plastic frame- minimizes bending and cracking,Wide frame to fit all types of clothes,Heavy duty clips increase hanging capabilities,Home organization made easy,TRUE,White,B0027IS7WQ,Hangers,HNG-01360,https://s3.amazonaws.com/store_engine/small/HNG-01360_450px.jpg,72,24598,9812,14.5,14,27.5,8.28,"Honey-Can-Do HNG-01360 Hotel Style Hangers with Clips, 72-Pack, White. Durable plastic design for increased durability. Sturdy plastic frame- minimizes bending and cracking. Wide frame to fit all types of clothes. Heavy duty clips increase hanging capabilities. Home organization made easy",20811434013603
"Hotel Style Hangers with Clips, Brown","Honey-Can-Do HNG-01361 Hotel Style Hangers with Clips, 72-Pack, Brown",Durable plastic design for increased durability,Sturdy plastic frame- minimizes bending and cracking,Wide frame to fit all types of clothes,Heavy duty clips increase hanging capabilities,Home organization made easy,TRUE,Brown,B0027IS7X0,Hangers,HNG-01361,https://s3.amazonaws.com/store_engine/small/HNG-01361_450px.jpg,72,24598,9812,14.5,14,27.5,8.57,"Honey-Can-Do HNG-01361 Hotel Style Hangers with Clips, 72-Pack, Brown. Durable plastic design for increased durability. Sturdy plastic frame- minimizes bending and cracking. Wide frame to fit all types of clothes. Heavy duty clips increase hanging capabilities. Home organization made easy",20811434013610
"Swivel Hanger with Dress Notches, White","Honey-Can-Do HNG-01363 Swivel Hanger with Dress Notches, 3-Pack, White","Heavy duty 52-gram plastic construction, resists bending or breakage","Made of recycled materials, reduces environmental impact of production",Features notches on frame to keep garments with straps hanging perfectly,"Integrated accessory hook hangs belts or scarves nicely, provides space-saving for hanging multiple garments together",360 degree swivel rod hook fit on most standard closet rods,TRUE,White,B0027IS7XA,Hangers,HNG-01363,https://s3.amazonaws.com/store_engine/small/HNG-01363_450px.jpg,3,998,226,16.5,1,9,1.22,"Honey-Can-Do HNG-01363 Swivel Hanger with Dress Notches, 3-Pack, White. Heavy duty 52-gram plastic construction, resists bending or breakage. Made of recycled materials, reduces environmental impact of production. Features notches on frame to keep garments with straps hanging perfectly. Integrated accessory hook hangs belts or scarves nicely, provides space-saving for hanging multiple garments together. 360 degree swivel rod hook fit on most standard closet rods",811434013630
"Swivel Hanger with Dress Notches and Clips, White","Honey-Can-Do HNG-01364 Swivel Hanger with Dress Notches and Clips, 3-Pack, White","Heavy duty 52-gram plastic construction, resists bending or breakage","Made of recycled materials, reduces environmental impact of production",Features adjustable clips for increased hanging capabilities,"Integrated accessory hook hangs belts or scarves nicely, provides space-saving for hanging multiple garments together",Features notches on frame to keep garments with straps hanging perfectly,TRUE,White,B0027IS7XK,Hangers,HNG-01364,https://s3.amazonaws.com/store_engine/small/HNG-01364_450px.jpg,3,998,314,16.5,1.75,10,1.23,"Honey-Can-Do HNG-01364 Swivel Hanger with Dress Notches and Clips, 3-Pack, White. Heavy duty 52-gram plastic construction, resists bending or breakage. Made of recycled materials, reduces environmental impact of production. Features adjustable clips for increased hanging capabilities. Integrated accessory hook hangs belts or scarves nicely, provides space-saving for hanging multiple garments together. Features notches on frame to keep garments with straps hanging perfectly",811434013647
"Wood Suit Hnager, Maple","Honey-Can-Do HNG-01366 Wood Suit Hnager, 10-Pack, Maple","Streamlined shape, keeps clothing looking freshly-pressed","Grooved-grip bar, keeps pants in place","Smooth finish, prevents splintering",10 pack,Maple finish,TRUE,Maple,B005FW1XXG,Hangers,HNG-01366,https://s3.amazonaws.com/store_engine/small/HNG-01366_450px.jpg,10,4198,1676,2.5,14,13.75,1.36,"Honey-Can-Do HNG-01366 Wood Suit Hnager, 10-Pack, Maple. Streamlined shape, keeps clothing looking freshly-pressed. Grooved-grip bar, keeps pants in place. Smooth finish, prevents splintering. 10 pack. Maple finish",811434013661
"Skirt and Pant Hangers with Clips, Clear","Honey-Can-Do HNG-01436 Skirt and Pant Hangers with Clips, 6-Pack, Clear",Adjustable pant or skirt clips accommodate a variety of sizes and styles,6-pack of plastic hangers,"Features a 360 degree swivel rod hook to hang items easily on any closet rod, towel bar, or standard size door",Perfect clothes hanger for keeping pants and skirts wrinkle-free,"Durable high impact plastic is strong, lightweight, and resistant to breakage",TRUE,Clear,B005W9V5C6,Hangers,HNG-01436,https://s3.amazonaws.com/store_engine/small/HNG-01436_450px.jpg,6,1998,742,2.375,14.5,7.5,1.3,"Honey-Can-Do HNG-01436 Skirt and Pant Hangers with Clips, 6-Pack, Clear. Adjustable pant or skirt clips accommodate a variety of sizes and styles. 6-pack of plastic hangers. Features a 360 degree swivel rod hook to hang items easily on any closet rod, towel bar, or standard size door. Perfect clothes hanger for keeping pants and skirts wrinkle-free. Durable high impact plastic is strong, lightweight, and resistant to breakage",811434014361
"Suit Hanger with Clips, Clear","Honey-Can-Do HNG-01437 Suit Hanger with Clips, 6-Pack, Clear",Adjustable clips,6-pack of plastic hangers,"Sturdy metal clips, securely holds pants in place",360-degree swivel hook is sturdy,"High impact plastic, strong & lightweight",TRUE,Clear,B005W9V576,Hangers,HNG-01437,https://s3.amazonaws.com/store_engine/small/HNG-01437_450px.jpg,6,2798,1060,2.6,17.2,10.3,1.29,"Honey-Can-Do HNG-01437 Suit Hanger with Clips, 6-Pack, Clear. Adjustable clips. 6-pack of plastic hangers. Sturdy metal clips, securely holds pants in place. 360-degree swivel hook is sturdy. High impact plastic, strong & lightweight",811434014378
"Crystal Cut Dress Hanger, Clear","Honey-Can-Do HNG-01438 Crystal Cut Dress Hanger, 8-Pack, Clear",Crystal cut design,8-pack of plastic hangers,"Swivel hook, easy to hang",360-degree swivel hook is sturdy,"High impact plastic, strong & lightweight",TRUE,Clear,B005W9V5BM,Hangers,HNG-01438,https://s3.amazonaws.com/store_engine/small/HNG-01438_450px.jpg,8,2198,848,3.5,16.75,9,1.66,"Honey-Can-Do HNG-01438 Crystal Cut Dress Hanger, 8-Pack, Clear. Crystal cut design. 8-pack of plastic hangers. Swivel hook, easy to hang. 360-degree swivel hook is sturdy. High impact plastic, strong & lightweight",811434014385
