title,long_title,bullet1,bullet2,bullet3,bullet4,bullet5,visible,color,asin,categories_list,model_number,photo_url,units,price,cost_cents,length,width,height,weight,long_description,upc
"Shelving Unit 350-Pound Capacity, chrome","Honey-Can-Do SHF-01913 Shelving Unit 350-Pound Capacity, chrome, 5-Tier","350-pound per shelf capacity, when load is evenly distributed","Nsf certified - for healthy living with a contemporary design, complements any decor","Commercial grade finish, durable and withstands heavy use","Shelf stands 72-inch tall, 36-inch wide, and 16-inch deep",Chrome storage shelving unit also comes in black and white,TRUE,chrome,B005FW1XFY,"Shelves, Shelf, Shelving",SHF-01913,https://s3.amazonaws.com/store_engine/small/SHF-01913_450px.jpg,1,34598,13816,38.75,18.32,8.625,16.37,"Honey-Can-Do SHF-01913 Shelving Unit 350-Pound Capacity, chrome, 5-Tier. 350-pound per shelf capacity, when load is evenly distributed. Nsf certified - for healthy living with a contemporary design, complements any decor. Commercial grade finish, durable and withstands heavy use. Shelf stands 72-inch tall, 36-inch wide, and 16-inch deep. Chrome storage shelving unit also comes in black and white",811434019137
"Shelving Unit 350-Pound Capacity, White","Honey-Can-Do SHF-01914 Shelving Unit 350-Pound Capacity, White, 5-Tier","350-pound per shelf capacity, when load is evenly distributed","Nsf certified - for healthy living with a contemporary design, complements any decor","Commercial grade finish, durable and withstands heavy use","Shelf stands 72-inch tall, 36-inch wide, and 16-inch deep",White storage shelving unit also comes in black and chrome,TRUE,White,B005FW1XJK,"Shelves, Shelf, Shelving",SHF-01914,https://s3.amazonaws.com/store_engine/small/SHF-01914_450px.jpg,1,34198,13616,38.32,18.125,9,16.83,"Honey-Can-Do SHF-01914 Shelving Unit 350-Pound Capacity, White, 5-Tier. 350-pound per shelf capacity, when load is evenly distributed. Nsf certified - for healthy living with a contemporary design, complements any decor. Commercial grade finish, durable and withstands heavy use. Shelf stands 72-inch tall, 36-inch wide, and 16-inch deep. White storage shelving unit also comes in black and chrome",811434019144
"Modular Mesh Storage Cube, Black","Honey-Can-Do SHF-02113 Modular Mesh Storage Cube, 6-Pack, Black, 43Hx29W ",Set of 6 storage cubes are easy to assemble,Interlocking cubes let you customize the size of your storage cube,"No tools are required to assemble, just push the connector pieces onto the walls","Design allows items to be stacked on top of storage cube, snap together pieces makes assembly or disassembly quick and easy","Storage cube stands 43-inches in height by 29-inches in width, perfect for your kitchen, bedroom, or bathrooms.",TRUE,Black,B006Y7A3C8,"Shelves, Shelf, Shelving",SHF-02113,https://s3.amazonaws.com/store_engine/small/SHF-02113_450px.jpg,6,12398,4904,5,15.5,14.5,13.5,"Honey-Can-Do SHF-02113 Modular Mesh Storage Cube, 6-Pack, Black, 43Hx29W . Set of 6 storage cubes are easy to assemble. Interlocking cubes let you customize the size of your storage cube. No tools are required to assemble, just push the connector pieces onto the walls. Design allows items to be stacked on top of storage cube, snap together pieces makes assembly or disassembly quick and easy. Storage cube stands 43-inches in height by 29-inches in width, perfect for your kitchen, bedroom, or bathrooms.",811434021130
"Commercial Steel Shelving Table with Basket, Black","Honey-Can-Do SHF-02216 Commercial Steel Shelving Table with Basket, Black, 14x15x16","Perfect for use in bathrooms, closets, and bedrooms; store towels, toiletries, toys, and more",Style combined with functionality with Black powder coated finish,"Nsf certified - for healthy living with a contemporary design, complements any decor","Easy to assemble with no power tools necessary, customize unit to fit your needs","Dimensions of: 14""D x 15""W x 16""H",TRUE,Black,B007ZSKN66,"Shelves, Shelf, Shelving",SHF-02216,https://s3.amazonaws.com/store_engine/small/SHF-02216_450px.jpg,1,8598,3374,14,15,16,6.11,"Honey-Can-Do SHF-02216 Commercial Steel Shelving Table with Basket, Black, 14x15x16. Perfect for use in bathrooms, closets, and bedrooms; store towels, toiletries, toys, and more. Style combined with functionality with Black powder coated finish. Nsf certified - for healthy living with a contemporary design, complements any decor. Easy to assemble with no power tools necessary, customize unit to fit your needs. Dimensions of: 14""D x 15""W x 16""H",847539022161
"3-Tier Steel Wire Shelving Tower, Chrome","Honey-Can-Do SHF-02217 3-Tier Steel Wire Shelving Tower, Chrome, 14x15x30","Perfect for use in bathrooms, closets, and bedrooms; store towels, toiletries, toys, and more",Style combined with functionality with Chrome finish,"Nsf certified - for healthy living with a contemporary design, complements any decor","Easy to assemble with no power tools necessary, customize unit to fit your needs","Dimensions of:  14""D x 15""W x 30""H",TRUE,Chrome,B007ZSKOA6,"Shelves, Shelf, Shelving",SHF-02217,https://s3.amazonaws.com/store_engine/small/SHF-02217_450px.jpg,1,11198,4430,14,15,30,8.93,"Honey-Can-Do SHF-02217 3-Tier Steel Wire Shelving Tower, Chrome, 14x15x30. Perfect for use in bathrooms, closets, and bedrooms; store towels, toiletries, toys, and more. Style combined with functionality with Chrome finish. Nsf certified - for healthy living with a contemporary design, complements any decor. Easy to assemble with no power tools necessary, customize unit to fit your needs. Dimensions of:  14""D x 15""W x 30""H",847539022178
"3-Tier Steel Wire Shelving Tower, Black","Honey-Can-Do SHF-02218 3-Tier Steel Wire Shelving Tower, Black, 14x15x30","Perfect for use in bathrooms, closets, and bedrooms; store towels, toiletries, toys, and more",Style combined with functionality with Black powder coated finish,"Nsf certified - for healthy living with a contemporary design, complements any decor","Easy to assemble with no power tools necessary, customize unit to fit your needs","Dimensions of:  14""D x 15""W x 30""H",TRUE,Black,B007ZSKOJC,"Shelves, Shelf, Shelving",SHF-02218,https://s3.amazonaws.com/store_engine/small/SHF-02218_450px.jpg,1,10598,4166,14,15,30,8.93,"Honey-Can-Do SHF-02218 3-Tier Steel Wire Shelving Tower, Black, 14x15x30. Perfect for use in bathrooms, closets, and bedrooms; store towels, toiletries, toys, and more. Style combined with functionality with Black powder coated finish. Nsf certified - for healthy living with a contemporary design, complements any decor. Easy to assemble with no power tools necessary, customize unit to fit your needs. Dimensions of:  14""D x 15""W x 30""H",847539022185
"Expandable Shoe Rack, White","Honey-Can-Do SHO-01167 Expandable Shoe Rack, White, 2-Tier",Durable steel frame with white epoxy coated finish,Expandable through a telescopic process providing additional shoe storage capacity,Limited lifetime warranty,Item dimensions: 45x10x10 inches,,TRUE,White,B001F51ACG,Shoe-Storage,SHO-01167,https://s3.amazonaws.com/store_engine/small/SHO-01167_450px.jpg,1,3798,1486,10.12,25.04,2.17,2.04,"Honey-Can-Do SHO-01167 Expandable Shoe Rack, White, 2-Tier. Durable steel frame with white epoxy coated finish. Expandable through a telescopic process providing additional shoe storage capacity. Limited lifetime warranty. Item dimensions: 45x10x10 inches. ",811434011674
"Shoe Rack, White","Honey-Can-Do SHO-01169 Shoe Rack, White, 18-Pair Rack",This over the door shoe rack provides practical and safe storage,Easily attaches to any standard size door to save valuable floor storage space,Holds 18 pairs of shoes,Made from durable steel construction,Item dimensions: 63x23x6-inch,TRUE,White,B001F51ACQ,Shoe-Storage,SHO-01169,https://s3.amazonaws.com/store_engine/small/SHO-01169_450px.jpg,1,4398,1702,2.35,6.75,23.25,1.41,"Honey-Can-Do SHO-01169 Shoe Rack, White, 18-Pair Rack. This over the door shoe rack provides practical and safe storage. Easily attaches to any standard size door to save valuable floor storage space. Holds 18 pairs of shoes. Made from durable steel construction. Item dimensions: 63x23x6-inch",811434011698
"Expandable shoe rack, chrome, Chrome","Honey-Can-Do SHO-01170 Expandable shoe rack, chrome, Chrome, 2-Tier",Expandable- fits in any space 24-inch to 44-inch wide,2-tier design- more storage in less space,Stackable- additional racks can be attached,Steel frame- sturdy and rust resistant,Item dimensions: 25x10x14-inch,TRUE,Chrome,B001F51AD0,Shoe-Storage,SHO-01170,https://s3.amazonaws.com/store_engine/small/SHO-01170_450px.jpg,1,4398,1754,24.75,9.88,1.88,1.32,"Honey-Can-Do SHO-01170 Expandable shoe rack, chrome, Chrome, 2-Tier. Expandable- fits in any space 24-inch to 44-inch wide. 2-tier design- more storage in less space. Stackable- additional racks can be attached. Steel frame- sturdy and rust resistant. Item dimensions: 25x10x14-inch",811434011704
"Floor Shoe Rack, White","Honey-Can-Do SHO-01171 Floor Shoe Rack, White, 9-Pair Shoe Rack",Storage for up to 9 pairs of shoes,Durable steel design,Easily assembled,Limited lifetime warranty,Item dimensions: 23x17x10-inch,TRUE,White,B001F51ADA,Shoe-Storage,SHO-01171,https://s3.amazonaws.com/store_engine/small/SHO-01171_450px.jpg,1,2798,1084,7.6,25.04,2.36,2.39,"Honey-Can-Do SHO-01171 Floor Shoe Rack, White, 9-Pair Shoe Rack. Storage for up to 9 pairs of shoes. Durable steel design. Easily assembled. Limited lifetime warranty. Item dimensions: 23x17x10-inch",811434011711
